Full Name,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Position
Oscar Dorley,83,55,74,76,69,69,MID
Jordan Lotomba,79,48,66,73,71,66,DEF
Malang Sarr,67,52,69,65,75,74,DEF
Perr Schuurs,66,64,71,66,76,74,DEF
José Ángel Valdés Díaz,64,54,75,70,74,67,DEF
Salvador Sevilla López,37,72,79,71,70,62,MID
Daniel Clayton Fachini Lobato,66,43,67,69,74,70,MID
Ko Itakura,74,45,59,67,77,76,DEF
Jean-Ricner Bellegarde,78,62,72,76,70,71,MID
Borja González Tomás,49,77,63,66,37,79,ATK
Will Hughes,48,64,77,76,68,63,MID
Viktor Claesson,74,72,72,75,50,73,MID
Sergio Escudero Palomo,67,63,72,70,76,69,DEF
Joshua Eduardo Sá Madeira,73,44,64,65,75,73,DEF
Julien De Sart,47,72,76,70,72,71,MID
Lucas Janson,84,72,66,79,36,63,ATK
Lucas Tousart,63,53,64,66,76,82,DEF
Jean-Philippe Gbamin,72,56,71,72,76,72,DEF
Christian Cueva,75,69,72,78,41,60,ATK
Nathan Collins,71,30,54,61,76,76,DEF
Calum Chambers,65,56,69,68,76,73,DEF
Harrison Reed,69,57,72,70,72,74,MID
Enrique García Martínez,57,76,64,73,44,73,ATK
Marvin Ducksch,70,76,67,69,34,69,ATK
Maximilian Wittek,78,68,69,73,67,74,DEF
Dimitri Foulquier,76,63,68,71,72,77,DEF
Tiago Emanuel Embaló Djaló,81,42,60,63,76,77,DEF
Bafétimbi Gomis,33,80,68,67,36,67,ATK
Yacine Adli,66,70,76,75,66,69,MID
Uílson de Souza Paula Júnior,80,58,72,75,70,67,DEF
Gabriel Tadeu Strefezza Rebelato,82,64,72,77,27,50,MID
Uriel Antuna,91,72,64,78,31,53,MID
Elseid Hysaj,75,51,65,72,72,72,DEF
Ibrahima Sissoko,62,60,71,70,72,84,MID
Marash Kumbulla,49,32,53,56,77,77,DEF
Martin Valjent,64,36,58,64,75,83,DEF
Alberto Moleiro González,77,66,72,78,46,59,MID
David Turnbull,68,72,77,74,63,65,MID
Santiago Comesaña Veiga,59,68,67,70,73,73,MID
Michel Aebischer,71,65,75,75,65,74,MID
Anthony Caci,69,52,68,67,75,72,DEF
Eduard Atuesta,63,58,75,76,68,70,MID
Aarón Martín Caricol,61,47,70,75,72,67,DEF
Alberth Elis,91,72,65,75,31,77,ATK
Alam Cristian Lindeiro Couto,72,42,68,70,73,62,DEF
Morgan Gibbs-White,76,70,73,76,57,66,MID
Gabriel Tadeu Strefezza Rebelato,82,64,72,77,27,50,MID
Ryan Sessegnon,82,65,72,77,68,66,MID
Pol Mikel Lirola Kosok,75,62,71,73,71,70,DEF
Andrea Pinamonti,74,77,53,71,27,72,ATK
Guus Til,69,75,70,72,61,75,ATK
Juan Camilo Hernández Suárez,82,75,65,73,42,74,ATK
Victor Nelsson,71,43,62,64,74,83,DEF
Dennis Geiger,53,53,74,79,61,58,MID
Jean-Ricner Bellegarde,78,62,72,76,70,71,MID
Malang Sarr,67,52,69,65,75,74,DEF
Jhon Mosquera,78,70,70,75,59,76,MID
Pedro Filipe Barbosa Moreira,77,71,77,77,59,61,MID
Dimitri Liénard,53,70,79,73,72,71,MID
Antonio Martínez López,69,76,59,72,24,77,ATK
Yoane Wissa,86,74,65,76,28,68,ATK
Jordan Lotomba,79,48,66,73,71,66,DEF
Domilson Cordeiro dos Santos,88,59,71,77,68,70,MID
Samuele Birindelli,84,49,64,72,71,66,DEF
Joe Willock,76,72,69,77,67,70,MID
James McArthur,52,67,71,72,74,68,MID
Masaya Okugawa,80,66,70,80,43,45,MID
Cesar Fernando Silva Melo,81,76,72,75,32,72,ATK
Perr Schuurs,66,64,71,66,76,74,DEF
Mohamed Bayo,70,76,60,73,26,62,ATK
Jawad El Yamiq,86,48,52,62,74,80,DEF
David Martínez,79,54,70,66,74,79,DEF
Héctor Junior Firpo Adamés,75,62,70,71,72,75,DEF
Youcef Atal,88,67,71,79,68,68,MID
Carles Pérez Sayol,80,73,68,79,36,62,MID
Paulo Henrique Sampaio Filho,85,68,71,81,36,63,MID
Eldor Shomurodov,82,74,63,75,39,70,ATK
Myron Boadu,88,74,62,76,28,66,ATK
Kai Wagner,78,48,64,69,73,78,DEF
Kiernan Dewsbury-Hall,66,64,74,75,66,71,MID
Mitchel Bakker,85,53,66,71,72,75,DEF
Wilson Miguéis Manafá Jancó,85,58,67,72,69,68,DEF
Ethan Pinnock,67,37,57,61,76,79,DEF
Rodrigo Nascimento França,49,33,56,49,78,71,DEF
Ruben Vargas,89,69,67,79,54,64,MID
Michael Richard Delgado de Oliveira,84,70,63,83,28,56,ATK
Ignacio Vidal Miralles,75,56,69,69,72,65,DEF
Uriel Antuna,91,72,64,78,31,53,MID
Kevin Danso,79,32,50,57,73,78,DEF
Daniel Muñoz,78,50,66,70,73,75,DEF
Mady Camara,76,74,72,74,73,81,MID
Djordje Mihailovic,72,70,76,76,60,68,MID
Albert Sambi Lokonga,66,58,75,78,69,69,MID
Joshua Eduardo Sá Madeira,73,44,64,65,75,73,DEF
Ben Brereton Díaz,84,73,63,74,41,76,ATK
Nicolás González Iglesias,66,63,74,72,73,78,MID
Warmed Omari,65,34,58,61,77,73,DEF
Adrien Truffert,73,55,70,73,72,68,DEF
Josip Šutalo,78,29,58,67,76,77,DEF
Facundo Farías,86,72,69,83,39,70,MID
Armando Broja,76,74,54,75,29,76,ATK
Kamaldeen Sulemana,93,69,66,80,28,62,MID
Nicolò Rovella,72,61,74,76,68,64,MID
Cristian Roldan,74,69,72,75,70,81,MID
Oscar Dorley,83,55,74,76,69,69,MID
Melvin Bard,76,52,67,74,71,70,DEF
Jesús Gallardo,83,67,70,75,69,74,DEF
Maximilian Eggestein,59,63,70,73,71,74,MID
Alejandro Romero Gamarra,81,68,73,77,52,64,MID
Omar Colley,65,31,48,54,74,83,DEF
Gonçalo Matias Ramos,77,73,64,74,40,80,ATK
Tiago B. de Melo Tomás,87,70,58,77,38,69,ATK
Arthur Theate,72,40,51,53,75,79,DEF
João Mário Neto Lopes,86,62,68,75,69,63,MID
Ansgar Knauff,87,62,68,77,51,58,MID
Josip Juranović,86,64,73,74,70,68,DEF
Nicolas Seiwald,73,62,73,72,72,73,MID
Ondřej Lingr,79,73,71,77,44,78,MID
Kerem Aktürkoğlu,84,70,67,77,37,56,MID
Malo Gusto,86,49,68,70,67,71,DEF
Gabriel Veron Fonseca de Souza,84,68,68,79,28,50,MID
Alan Varela,70,59,72,72,71,74,MID
Myrto Uzuni,83,72,66,79,27,63,MID
Tino Livramento,83,47,65,74,70,67,DEF
Ivan Schranz,83,75,67,74,65,76,ATK
Jakub Pešek,86,69,69,77,28,49,MID
Takumi Minamino,78,74,70,81,38,62,MID
Florian Sotoca,74,72,69,71,43,80,ATK
Pascoal Simão Muscato Vieira,58,68,69,70,73,76,MID
Leôncio Roger Vimieiro Madeira,73,52,66,70,74,71,DEF
Enaldo Diogo Barbosa Prazeres,70,49,68,65,74,71,DEF
Jailson Michel Caeiro Meireles,70,53,63,72,74,69,DEF
Kaíqundo Calado Dimas,82,51,64,71,72,73,DEF
Estevão Danilo Candeira Inácio,77,59,70,69,70,68,DEF
Jorgino Silas Ruiz Prestes,70,57,68,74,76,64,MID
Lucas Tousart,63,53,64,66,76,82,DEF
Cristian Also Laranjeiro Sá,70,54,61,64,75,81,DEF
Daniel Clayton Fachini Lobato,66,43,67,69,74,70,MID
Jesus Fabrício Andrade Simões,71,46,67,73,75,72,DEF
Rubens Jairo Freitosa Costa,64,64,73,71,68,76,MID
Davi Alexandre Parrela Ferreira,64,40,54,52,76,78,DEF
Pierre Lees-Melou,65,72,76,75,67,74,MID
Tom Davies,65,64,73,75,69,70,MID
Fabien Centonze,81,51,68,70,70,78,DEF
Eduardo Expósito Jaén,64,73,75,75,72,69,MID
Alexander Barboza,51,57,60,64,73,87,DEF
Bryan Heynen,65,71,74,73,71,72,MID
Marko Pjaca,77,69,74,81,41,63,MID
Antonio Villa Suárez,74,63,74,77,53,49,MID
Waldemar Anton,64,46,59,65,75,79,DEF
Thomas Ouwejan,73,61,77,72,69,75,DEF
Thembinkosi Lorch,78,73,71,74,46,55,ATK
Kevin Vázquez Comesaña,66,53,67,66,73,66,DEF
Leonardo Godoy,85,57,66,73,69,80,DEF
Josh Cullen,68,56,73,71,72,71,MID
Sander Berge,64,62,71,72,73,83,DEF
Cristian Guanca,76,74,72,75,40,70,MID
Lukáš Haraslín,80,68,70,79,40,60,MID
Soufiane Rahimi,85,73,70,74,38,65,MID
Alberto Moleiro González,77,66,72,78,46,59,MID
Federico Gatti,68,35,48,54,76,76,DEF
Pontus Jansson,53,42,54,62,75,79,DEF
Vincent Aboubakar,73,74,71,75,36,81,ATK
Paweł Dawidowicz,62,48,63,65,76,77,DEF
Connor Goldson,69,50,62,65,74,82,DEF
Soufiane Rahimi,85,73,70,74,38,65,MID
Teemu Pukki,77,76,62,73,36,73,ATK
Agustín Palavecino,77,72,76,79,63,64,MID
Domenico Criscito,68,61,74,71,77,71,DEF
Tosin Adarabioyo,72,31,57,58,75,77,DEF
Cristian Also Laranjeiro Sá,70,54,61,64,75,81,DEF
Alex Iwobi,74,64,72,78,38,65,MID
Alfred Duncan,73,64,72,74,74,81,MID
Felipe Caicedo,65,74,67,71,43,74,ATK
Fábio Rafael Rodrigues Cardoso,61,32,52,64,76,80,DEF
Mohamed Bayo,70,76,60,73,26,62,ATK
Pablo Aguilar,63,52,54,57,77,74,DEF
Cédric Ricardo Alves Soares,71,61,70,75,73,64,DEF
Maximilian Wöber,72,51,66,64,74,80,DEF
Bruno Petković,74,72,76,79,39,75,MID
Rolando Mandragora,55,65,74,75,74,75,MID
Denis Bouanga,84,73,70,76,38,72,MID
Florian Sotoca,74,72,69,71,43,80,ATK
Álvaro Aguado Méndez,75,70,73,74,62,61,MID
Santiago Giménez,74,76,67,71,52,80,ATK
Ondřej Lingr,79,73,71,77,44,78,MID
Tiemoué Bakayoko,61,48,65,71,75,83,DEF
Amine Harit,74,62,71,79,39,49,MID
Kevin Danso,79,32,50,57,73,78,DEF
David Martínez,79,54,70,66,74,79,DEF
Glen Kamara,76,60,71,76,72,76,MID
Jérémy Doku,91,65,66,80,25,64,MID
Leonardo Balerdi,68,36,57,64,75,75,DEF
Éder Balanta,64,43,62,69,76,84,DEF
Ozzie Kukoč,80,61,73,75,67,58,MID
Ugo Babatunde,65,39,49,56,75,82,DEF
Dejon Cockburn,69,78,64,76,30,66,ATK
Jean-Eudes Aholou,64,60,68,69,73,77,MID
Georginio Rutter,77,74,59,77,24,64,ATK
Luiz Gustavo Dias,55,61,68,69,76,80,MID
Enner Valencia,87,74,67,74,47,78,ATK
Gonçalo Matias Ramos,77,73,64,74,40,80,ATK
Victor Vinícius Coelho dos Santos,79,76,72,77,39,61,MID
Lucas Olaza,75,69,71,71,71,68,DEF
Kévin Manuel Rodrigues,73,71,76,74,71,58,DEF
Krzysztof Piątek,72,76,54,72,36,71,ATK
Jesús Vallejo Lázaro,67,42,57,64,76,66,DEF
Victor Nelsson,71,43,62,64,74,83,DEF
Jacob Ramsey,75,74,71,78,67,74,MID
Zainadine Chavango Júnior,74,46,57,63,76,77,DEF
Antonio Villa Suárez,74,63,74,77,53,49,MID
Amin Younes,69,68,72,81,38,61,MID
Cristian Arango,75,74,63,75,35,72,ATK
Guus Til,69,75,70,72,61,75,ATK
Kevin Akpoguma,77,48,59,70,76,73,DEF
Daniel-Kofi Kyereh,81,72,66,80,24,62,MID
Okay Yokuşlu,59,70,70,70,73,81,MID
Denis Cheryshev,73,73,74,74,57,65,MID
Romell Quioto,85,73,69,71,22,81,ATK
Jed Wallace,77,72,74,75,45,67,MID
Wendell Nascimento Borges,79,54,70,76,69,70,DEF
Michael Ngadeu,60,44,56,61,74,83,DEF
Duirval Hélton Diniz Cabral,53,47,55,52,77,74,DEF
Alejandro Baena Rodríguez,76,74,73,74,59,62,MID
Elias Thiago Petri Taffarel,73,68,75,77,29,67,MID
David Turnbull,68,72,77,74,63,65,MID
Dênis Rubens Stein Rebelo,76,76,61,73,30,64,ATK
Connor Roberts,78,54,66,69,69,74,DEF
Jordan Ayew,74,73,69,77,55,73,ATK
Estevão Daniel Formoso Serpa,77,77,60,73,24,60,ATK
Loïs Openda,93,73,64,74,26,76,ATK
Thomas Foket,72,57,69,71,71,76,DEF
Elías Gómez,81,62,71,74,67,77,DEF
Ethan Pinnock,67,37,57,61,76,79,DEF
Bruno Martins Indi,44,42,58,58,76,80,DEF
Romain Thomas,33,37,54,47,76,72,DEF
Rafael Jorgino Cachoira Rebelo,53,40,58,59,77,77,DEF
Romain Alessandrini,85,78,72,78,45,68,ATK
Domilson Cordeiro dos Santos,88,59,71,77,68,70,MID
Ricard Puig Martí,65,64,73,80,58,49,MID
João Paulo Mior,72,69,77,75,69,70,MID
Nicola Sansone,78,71,71,80,44,54,MID
Daniel García Carrillo,37,63,70,70,74,81,MID
Jose Luís García Vayá,64,64,76,71,71,76,MID
Robert Rojas,80,56,64,66,74,76,DEF
Tom Cairney,58,73,77,76,62,64,MID
Jean Michaël Seri,65,67,77,76,67,65,MID
Pierre Lees-Melou,65,72,76,75,67,74,MID
Joe Aribo,80,68,72,78,68,76,MID
Taxiarchis Fountas,88,75,66,76,47,65,ATK
Jawad El Yamiq,86,48,52,62,74,80,DEF
Franco Cristaldo,75,69,72,74,63,72,MID
Sead Kolašinac,73,62,68,70,71,85,DEF
Vicente Iborra de la Fuente,53,64,72,65,74,79,MID
Maximilian Eggestein,59,63,70,73,71,74,MID
Jorgino Silas Ruiz Prestes,70,57,68,74,76,64,MID
Kevin Vázquez Comesaña,66,53,67,66,73,66,DEF
Steven Zuber,77,73,73,76,67,73,ATK
Ryan Sessegnon,82,65,72,77,68,66,MID
Lautaro Giannetti,71,34,54,55,77,78,DEF
Matheus Leite Nascimento,85,75,64,79,36,62,MID
Anders Christiansen,75,73,73,77,65,73,MID
Iván Alejo Peralta,81,73,73,76,44,67,ATK
Anwar El Ghazi,70,78,70,75,35,66,ATK
Lincoln Oliveira dos Santos,78,70,77,78,45,65,MID
Munas Dabbur,57,74,65,77,32,68,ATK
Brendan Chardonnet,54,45,54,60,75,76,DEF
Youcef Atal,88,67,71,79,68,68,MID
Fernando Zuqui,73,63,76,74,69,73,MID
Yimmi Chará,91,69,67,78,52,71,ATK
Alexandru Maxim,69,73,73,79,32,58,MID
Alexander Barboza,51,57,60,64,73,87,DEF
Tom Davies,65,64,73,75,69,70,MID
Sam Larsson,76,72,73,80,38,59,MID
Ivan Schranz,83,75,67,74,65,76,ATK
Niclas Füllkrug,61,76,62,70,36,74,ATK
André Filipe Tavares Gomes,51,67,76,75,69,74,MID
Laurent Abergel,69,49,68,72,71,75,MID
Jakub Pešek,86,69,69,77,28,49,MID
Anthony Losilla,52,57,67,71,72,76,MID
Federico Gatti,68,35,48,54,76,76,DEF
Alejandro Baena Rodríguez,76,74,73,74,59,62,MID
Jens Stryger Larsen,77,60,71,73,70,75,DEF
Samuel Sáiz Alonso,79,75,74,77,31,70,ATK
Tariq Lamptey,87,44,66,76,70,49,DEF
José Luís Mendes Andrade,70,74,59,71,33,75,ATK
Jesper Lindstrøm,87,70,69,78,48,63,MID
Rico Henry,90,40,59,74,70,72,DEF
Nehuén Pérez,57,25,47,51,77,74,DEF
Morgan Gibbs-White,76,70,73,76,57,66,MID
Daniel Santos Bragança,80,66,75,81,64,63,MID
Gonzalo Higuaín,48,79,71,72,28,64,ATK
Niklas Stark,75,50,63,67,76,75,DEF
Josh Brownhill,67,65,71,74,75,78,MID
Omar Mascarell González,57,60,69,72,72,71,MID
Iñigo Lekue Martínez,81,62,70,70,70,72,DEF
Pietro Beruatto,70,43,59,65,75,69,DEF
Davi Alexandre Parrela Ferreira,64,40,54,52,76,78,DEF
Alex Král,71,70,71,75,72,78,MID
Ștefan Radu,55,64,65,68,79,69,DEF
Ruben Vargas,89,69,67,79,54,64,MID
Ainsley Maitland-Niles,78,62,70,74,70,71,DEF
Djed Spence,89,43,58,74,67,63,DEF
Petr Ševčík,74,70,76,77,69,73,MID
Johnny Russell,77,75,71,76,50,79,ATK
Malo Gusto,86,49,68,70,67,71,DEF
Arthur Theate,72,40,51,53,75,79,DEF
Abdülkadir Ömür,83,66,73,81,52,56,MID
Estevão Daniel Formoso Serpa,77,77,60,73,24,60,ATK
Rafael Jorgino Cachoira Rebelo,53,40,58,59,77,77,DEF
Giuseppe Pezzella,76,57,68,72,69,75,DEF
Jose Luís García Vayá,64,64,76,71,71,76,MID
Nahitan Nández,80,66,69,77,71,79,MID
Joe Aribo,80,68,72,78,68,76,MID
Ibrahima Sissoko,62,60,71,70,72,84,MID
Iván Alejo Peralta,81,73,73,76,44,67,ATK
Simon Banza,69,74,54,74,31,76,ATK
Maximilian Wöber,72,51,66,64,74,80,DEF
Josip Juranović,86,64,73,74,70,68,DEF
Amine Harit,74,62,71,79,39,49,MID
Felix Uduokhai,67,39,53,59,77,74,DEF
Ko Itakura,74,45,59,67,77,76,DEF
Miha Zajc,66,73,75,75,66,65,MID
Lincoln Oliveira dos Santos,78,70,77,78,45,65,MID
Brahian Alemán,72,75,76,74,67,72,MID
Lukáš Haraslín,80,68,70,79,40,60,MID
Juan Camilo Hernández Suárez,82,75,65,73,42,74,ATK
Andriy Yarmolenko,58,79,77,77,42,67,MID
Cristian Roldan,74,69,72,75,70,81,MID
Léandre Tawamba,64,75,56,70,24,83,ATK
Sander Berge,64,62,71,72,73,83,DEF
Alan Varela,70,59,72,72,71,74,MID
Jordy Clasie,56,62,77,75,66,67,MID
Diogo Filipe Rocha Costa,83,67,69,80,40,53,ATK
Jesús Gallardo,83,67,70,75,69,74,DEF
Walter Bou,75,75,68,76,46,75,ATK
Cristian Ansaldi,69,63,73,73,71,67,DEF
Benjamin Hübner,38,33,55,57,78,67,DEF
Nathaniel Clyne,69,60,70,72,73,64,DEF
Albert Rusnák,71,73,73,75,55,65,MID
Amine Adli,86,72,67,80,40,54,MID
Grant Hanley,53,32,47,49,76,78,DEF
Ailton Diogo Coelho Barbosa,82,72,71,74,38,60,MID
Dodi Lukébakio,83,72,66,78,31,59,MID
Moussa Djenepo,79,66,67,79,36,65,MID
Diogo Filipe Pinto Leite,60,38,48,57,76,73,DEF
Lucas Perrin,51,35,55,59,76,71,DEF
Yunus Musah,85,69,68,74,60,67,MID
Guilherme Costa Marques,91,67,69,76,51,67,MID
Jesus Ferreira,81,73,70,74,44,65,ATK
Douglas Arthur Armeira Bahia,72,57,63,69,72,74,DEF
José Sand,47,78,62,67,37,67,ATK
Mattia Aramu,75,63,73,77,52,61,MID
Augusto Solari,85,62,72,75,58,73,MID
Sergio Álvarez Díaz,59,66,67,67,70,80,MID
Gustavo Hamer,69,69,75,72,71,77,MID
Luis Jesús Pérez Maqueda,88,47,63,68,69,77,DEF
Jack Cork,40,60,70,68,73,76,MID
Nikola Storm,78,73,70,74,36,57,MID
Bruno Henrique Corsini,61,67,74,69,71,76,MID
Kauê Enaldo Lima Rodrigues,74,63,69,68,75,70,DEF
Alessio Castro-Montes,73,69,71,73,70,68,MID
Bobby Decordova-Reid,77,71,69,76,57,63,MID
Gabriel Ávalos,71,73,61,73,46,81,ATK
Jamiro Gregory Monteiro Alvarenga,75,63,73,78,64,75,MID
Leroy Fer,64,66,71,70,70,81,MID
Marco Richter,75,71,67,78,34,61,ATK
Petros Matheus dos Santos Araujo,64,67,70,73,72,83,MID
Cyle Larin,74,74,65,68,28,78,ATK
Ignacio Pussetto,78,72,63,77,25,60,ATK
Bernardo Espinosa,39,44,58,51,73,78,DEF
Joris Kayembe,84,62,69,75,66,72,DEF
Allan-Roméo Nyom,80,59,70,68,70,86,DEF
Anderson Plata,85,66,65,78,42,71,MID
Bautista Merlini,84,66,68,77,41,57,MID
Jeff Reine-Adélaïde,71,70,72,79,54,64,MID
Luis Rioja González,77,66,70,77,37,51,MID
Vitaly Janelt,68,69,71,72,73,78,MID
Murilo de Souza Costa,88,70,65,79,25,65,ATK
Adama Soumaoro,53,37,54,55,73,78,DEF
Jeison Murillo,71,40,61,63,73,77,DEF
Fernando Calero Villa,64,42,66,68,74,74,DEF
Maxime D'Arpino,65,61,74,70,69,73,MID
Jakub Moder,68,70,74,72,69,75,MID
Akim Zedadka,81,55,65,74,65,65,DEF
Dany Mota Carvalho,75,73,65,76,30,63,ATK
Dante Vanzeir,85,74,67,73,36,72,ATK
Robert Skov,78,77,76,72,64,68,ATK
Cristian Gamboa,88,48,66,72,69,71,DEF
Mauricio Pereyra,69,65,75,75,54,66,MID
André Hahn,69,74,68,70,55,83,ATK
Hugo Guillamón Sammartín,58,51,66,64,74,71,MID
Fernando Elton Meireles Petri,71,45,66,72,75,70,DEF
Xavier Chavalerin,59,67,73,71,69,75,MID
Sergio Gómez Martín,70,70,74,75,69,66,MID
Edon Zhegrova,79,67,68,78,25,60,MID
Krépin Diatta,91,69,66,76,47,67,MID
Philip Zinckernagel,87,70,70,75,42,68,MID
Abel Ruiz Ortega,74,74,66,75,38,67,ATK
Santiago Simón,77,63,72,75,66,72,MID
Yann Karamoh,78,68,69,77,31,60,MID
Adam Armstrong,84,75,66,75,35,69,ATK
Ander Barrenetxea,78,71,63,80,24,48,ATK
Ola Aina,83,60,66,73,70,74,DEF
Marlon da Silva Barbosa,68,44,59,67,75,77,DEF
Mykola Matvienko,76,48,67,69,74,74,DEF
Francisco Femenía Far,74,57,70,74,70,67,DEF
Adam Smith,66,60,69,70,72,71,DEF
Ryan Bertrand,68,53,71,72,72,70,DEF
Václav Pilař,80,69,68,78,39,56,MID
Luka Milivojević,47,70,73,66,73,69,MID
Ángel Luís Rodríguez Díaz,69,75,62,74,34,65,ATK
Nicola Zalewski,83,59,70,76,55,55,MID
Michael Renan Dimeira Couto,86,64,71,78,39,52,MID
Christian Bassogog,90,71,62,77,38,74,ATK
Massadio Haïdara,76,52,62,71,70,78,DEF
Mbaye Diagne,64,74,56,63,29,72,ATK
Antonee Robinson,87,47,64,73,69,72,DEF
Jordan Beyer,73,34,59,66,75,69,DEF
Yukinari Sugawara,82,53,72,72,66,71,DEF
Pedro Filipe Teodósio Mendes,59,38,51,61,74,76,DEF
Jordan Siebatcheu,67,73,60,71,29,74,ATK
Brian Oliván Herrero,74,56,65,69,69,75,DEF
André Gomes Magalhães Almeida,61,63,75,71,75,73,DEF
Ewerton Paixão da Silva,82,70,67,78,25,57,MID
Christopher Jullien,64,50,62,56,73,74,DEF
Bernardo Cuesta,67,79,56,62,27,70,ATK
Adrian Mierzejewski,74,75,73,76,47,73,MID
Martin Erlić,64,34,49,52,74,73,DEF
Mike Trésor,79,68,70,79,29,52,MID
Diogo António Cupido Gonçalves,84,72,70,75,67,71,MID
Borja Sánchez Laborde,76,69,73,74,41,66,MID
José Carlos Gonçalves Rodrigues,72,59,68,69,72,71,MID
Manuel Sánchez de la Peña,72,44,62,68,72,60,DEF
Pedro Miguel Lopes Pereira,76,39,66,71,69,66,DEF
Christian Bernardi,78,72,70,78,50,65,ATK
Marshall Munetsi,58,59,65,69,71,77,MID
Gonzalo Villar del Fraile,54,57,74,77,69,67,MID
Isaac Success,73,71,66,75,38,67,ATK
Diego Lainez,76,64,70,80,49,50,MID
Oussama Tannane,82,76,72,78,41,71,MID
Mahdi Camara,63,57,67,71,73,74,MID
Bamba Dieng,80,75,60,71,33,62,ATK
Enrique Barja Afonso,73,66,69,73,35,59,MID
Iván Piris,83,48,62,70,70,74,DEF
Cameron Carter-Vickers,74,26,55,63,74,81,DEF
Tomasz Kędziora,77,46,66,64,72,74,DEF
Giangiacomo Magnani,78,37,45,50,76,72,DEF
Mauro Pierre Cildinho Conradi,74,46,68,74,69,58,DEF
Lucas Lima Linhares,82,67,68,79,35,57,MID
Marcelo Saracchi,80,63,71,76,69,69,MID
Jack Stephens,50,42,61,67,75,73,DEF
Alan Soñora,73,66,77,76,65,66,MID
Rémy Cabella,71,70,74,78,39,52,MID
Danny da Costa,73,56,65,68,72,81,DEF
Lorenzo Reyes,65,59,66,70,71,77,MID
Wesley Moraes Ferreira da Silva,65,74,67,70,38,83,ATK
Darko Brašanac,49,70,71,71,71,71,MID
Alexis Claude-Maurice,80,71,72,79,69,69,MID
Raoul Bellanova,87,32,61,68,67,72,DEF
Andreaw Gravillon,59,42,48,55,74,77,DEF
Anthony Elanga,88,66,64,75,38,57,ATK
Arnaud Souquet,66,59,70,71,71,69,DEF
Jonathan Osorio,61,69,71,76,63,68,MID
Umut Bozok,78,73,63,74,33,69,ATK
Silvan Hefti,77,49,64,66,70,81,DEF
Joaquín Fernández Moreno,64,45,60,55,74,80,DEF
Sebastian Szymański,83,66,74,76,38,49,MID
Max Aarons,80,42,64,75,70,73,DEF
Dániel Gazdag,76,73,67,76,54,63,MID
Mariano Díaz Mejía,74,76,61,71,45,78,ATK
Alexander Hack,66,34,60,53,75,76,DEF
Serdar Aziz,69,32,51,55,74,79,DEF
David Zima,74,38,54,63,76,76,DEF
Reggie Cannon,91,36,60,69,67,75,DEF
Halil Akbunar,84,67,70,76,38,57,MID
Nemanja Radonjić,88,71,69,74,30,58,ATK
Lassina Traoré,78,72,57,69,30,76,ATK
Borja García Freire,73,69,73,74,60,66,MID
André Filipe Brás André,64,69,75,75,68,70,MID
Kenny Tete,75,47,66,68,73,75,DEF
Manuel Gulde,69,40,51,57,76,72,DEF
Lucas Pratto,70,74,69,69,58,80,ATK
Gastón Giménez,64,61,71,73,67,83,MID
Luciano Vietto,76,70,72,78,45,64,MID
Enzo Roco,32,41,55,58,75,76,DEF
Jonjoe Kenny,70,49,65,70,71,70,DEF
Gerrit Holtmann,94,67,67,73,56,60,ATK
Chris Führich,83,68,69,75,54,59,MID
Dimitrios Siovas,33,44,54,60,75,75,DEF
Nicholas Williams Arthuer,91,67,65,77,33,58,MID
Falaye Sacko,92,45,61,72,67,73,DEF
Mikel Vesga Arruti,41,63,70,66,75,78,MID
Dani de Wit,67,74,71,70,73,87,ATK
José Henrique da Silva Dourado,72,75,63,66,34,84,ATK
Stefan Schwab,63,71,75,72,70,76,MID
Haris Belkebla,55,49,71,70,69,73,MID
Ozan Tufan,79,73,72,75,71,77,MID
Ben Johnson,76,38,62,67,73,71,DEF
Gonzalo Melero Manzanares,53,75,73,70,70,75,MID
Ezgjan Alioski,78,72,71,73,67,76,DEF
Khaled Narey,82,67,68,75,62,73,ATK
Lino Francisco Essier Simão,67,45,68,66,73,79,DEF
Rob Dickie,61,45,52,59,74,78,DEF
Gérson Adriano Damesio Figueiras,51,42,49,57,76,76,DEF
Rodrigo Battaglia,60,65,67,70,74,77,MID
Tiago Manuel Dias Correia,82,77,71,72,41,83,MID
Florian Niederlechner,68,75,63,73,35,78,ATK
Mateusz Klich,65,71,74,72,66,72,MID
Aitor Ruibal García,85,73,67,74,42,60,MID
Nampalys Mendy,60,54,69,75,73,66,MID
Morgan Schneiderlin,45,58,70,70,73,74,MID
Nikola Kalinić,62,74,64,72,42,67,ATK
Ibrahima Diallo,65,48,65,70,71,74,MID
Pablo Piatti,77,73,72,75,47,50,MID
Maxim Leitsch,82,37,57,58,76,71,DEF
Mathias Jensen,67,62,76,72,67,71,MID
Ibrahim Traoré,60,65,71,73,69,80,MID
Christian Kouamé,83,71,63,74,39,73,ATK
Colin Dagba,77,56,69,74,70,60,DEF
Jakub Brabec,68,51,62,63,73,77,DEF
Timothy Weah,86,71,67,75,45,61,MID
Bruno Zuculini,69,65,68,70,72,80,DEF
Nico Schulz,85,46,65,67,70,80,DEF
Marco van Ginkel,58,74,75,73,69,73,MID
Lukas Kübler,75,46,59,64,73,68,DEF
Enzo Díaz,73,49,68,72,71,81,MID
